actual_order_id,order_status_code,regular_order_id,actual_order_date
1,Nulla anim,1,1986-01-30 09:15:22
10001,Nulla anim1,10001,1986-01-30 09:15:22
20001,Nulla anim2,20001,1986-01-30 09:15:22
30001,Nulla anim3,30001,1986-01-30 09:15:22
40001,Nulla anim4,40001,1986-01-30 09:15:22
2,Reiciendis,2,1998-05-18 00:10:52
10002,Reiciendis1,10002,1998-05-18 00:10:52
20002,Reiciendis2,20002,1998-05-18 00:10:52
30002,Reiciendis3,30002,1998-05-18 00:10:52
40002,Reiciendis4,40002,1998-05-18 00:10:52
3,Et velit t,3,1996-01-04 22:28:02
10003,Et velit t1,10003,1996-01-04 22:28:02
20003,Et velit t2,20003,1996-01-04 22:28:02
30003,Et velit t3,30003,1996-01-04 22:28:02
40003,Et velit t4,40003,1996-01-04 22:28:02
4,Et est con,4,2005-03-24 08:48:12
10004,Et est con1,10004,2005-03-24 08:48:12
20004,Et est con2,20004,2005-03-24 08:48:12
30004,Et est con3,30004,2005-03-24 08:48:12
40004,Et est con4,40004,2005-03-24 08:48:12
5,Et volupta,5,2009-07-17 09:38:28
10005,Et volupta1,10005,2009-07-17 09:38:28
20005,Et volupta2,20005,2009-07-17 09:38:28
30005,Et volupta3,30005,2009-07-17 09:38:28
40005,Et volupta4,40005,2009-07-17 09:38:28
6,Veritatis ,6,2018-08-15 15:35:48
10006,Veritatis 1,10006,2018-08-15 15:35:48
20006,Veritatis 2,20006,2018-08-15 15:35:48
30006,Veritatis 3,30006,2018-08-15 15:35:48
40006,Veritatis 4,40006,2018-08-15 15:35:48
7,Necessitat,7,2009-04-15 04:37:12
10007,Necessitat1,10007,2009-04-15 04:37:12
20007,Necessitat2,20007,2009-04-15 04:37:12
30007,Necessitat3,30007,2009-04-15 04:37:12
40007,Necessitat4,40007,2009-04-15 04:37:12
8,Hic volupt,8,2000-09-19 08:06:26
10008,Hic volupt1,10008,2000-09-19 08:06:26
20008,Hic volupt2,20008,2000-09-19 08:06:26
30008,Hic volupt3,30008,2000-09-19 08:06:26
40008,Hic volupt4,40008,2000-09-19 08:06:26
9,Voluptas q,9,1988-11-19 14:36:54
10009,Voluptas q1,10009,1988-11-19 14:36:54
20009,Voluptas q2,20009,1988-11-19 14:36:54
30009,Voluptas q3,30009,1988-11-19 14:36:54
40009,Voluptas q4,40009,1988-11-19 14:36:54
10,Optio non ,10,1996-04-23 04:58:34
10010,Optio non 1,10010,1996-04-23 04:58:34
20010,Optio non 2,20010,1996-04-23 04:58:34
30010,Optio non 3,30010,1996-04-23 04:58:34
40010,Optio non 4,40010,1996-04-23 04:58:34
11,Odio qui s,11,1998-12-06 04:42:15
10011,Odio qui s1,10011,1998-12-06 04:42:15
20011,Odio qui s2,20011,1998-12-06 04:42:15
30011,Odio qui s3,30011,1998-12-06 04:42:15
40011,Odio qui s4,40011,1998-12-06 04:42:15
12,Aut modi q,12,2022-06-04 23:48:07
10012,Aut modi q1,10012,2022-06-04 23:48:07
20012,Aut modi q2,20012,2022-06-04 23:48:07
30012,Aut modi q3,30012,2022-06-04 23:48:07
40012,Aut modi q4,40012,2022-06-04 23:48:07
13,Occaecati ,13,1992-10-24 18:12:37
10013,Occaecati 1,10013,1992-10-24 18:12:37
20013,Occaecati 2,20013,1992-10-24 18:12:37
30013,Occaecati 3,30013,1992-10-24 18:12:37
40013,Occaecati 4,40013,1992-10-24 18:12:37
14,Veniam ull,14,2019-01-09 04:21:20
10014,Veniam ull1,10014,2019-01-09 04:21:20
20014,Veniam ull2,20014,2019-01-09 04:21:20
30014,Veniam ull3,30014,2019-01-09 04:21:20
40014,Veniam ull4,40014,2019-01-09 04:21:20
15,Pariatur v,15,1995-01-19 20:42:28
10015,Pariatur v1,10015,1995-01-19 20:42:28
20015,Pariatur v2,20015,1995-01-19 20:42:28
30015,Pariatur v3,30015,1995-01-19 20:42:28
40015,Pariatur v4,40015,1995-01-19 20:42:28
16,Aliquam cu,16,1994-03-10 20:21:32
10016,Aliquam cu1,10016,1994-03-10 20:21:32
20016,Aliquam cu2,20016,1994-03-10 20:21:32
30016,Aliquam cu3,30016,1994-03-10 20:21:32
40016,Aliquam cu4,40016,1994-03-10 20:21:32
17,Molestiae ,17,2010-01-20 21:14:49
10017,Molestiae 1,10017,2010-01-20 21:14:49
20017,Molestiae 2,20017,2010-01-20 21:14:49
30017,Molestiae 3,30017,2010-01-20 21:14:49
40017,Molestiae 4,40017,2010-01-20 21:14:49
18,Velit aut ,18,1997-07-23 17:46:21
10018,Velit aut 1,10018,1997-07-23 17:46:21
20018,Velit aut 2,20018,1997-07-23 17:46:21
30018,Velit aut 3,30018,1997-07-23 17:46:21
40018,Velit aut 4,40018,1997-07-23 17:46:21
19,Voluptas s,19,1978-01-31 09:05:37
10019,Voluptas s1,10019,1978-01-31 09:05:37
20019,Voluptas s2,20019,1978-01-31 09:05:37
30019,Voluptas s3,30019,1978-01-31 09:05:37
40019,Voluptas s4,40019,1978-01-31 09:05:37
20,Voluptates,20,2021-07-07 20:00:50
10020,Voluptates1,10020,2021-07-07 20:00:50
20020,Voluptates2,20020,2021-07-07 20:00:50
30020,Voluptates3,30020,2021-07-07 20:00:50
