address_id,address_details,city,zip_postcode,state_province_county,country
1,"801 Olson Squares Suite 239
Roobtown, SD 48534-4279",West Marshall,080,Colorado,British Indian Ocean Territory (Chagos Archipelago
10001,"801 Olson Squares Suite 239
Roobtown, SD 48534-42791",West Marshall1,0801,Colorado1,British Indian Ocean Territory (Chagos Archipelago1
20001,"801 Olson Squares Suite 239
Roobtown, SD 48534-42792",West Marshall2,0802,Colorado2,British Indian Ocean Territory (Chagos Archipelago2
30001,"801 Olson Squares Suite 239
Roobtown, SD 48534-42793",West Marshall3,0803,Colorado3,British Indian Ocean Territory (Chagos Archipelago3
40001,"801 Olson Squares Suite 239
Roobtown, SD 48534-42794",West Marshall4,0804,Colorado4,British Indian Ocean Territory (Chagos Archipelago4
2,"141 Adams Isle
Gutmannmouth, UT 51319",Lake Kayli,518,Texas,Antarctica (the territory South of 60 deg S)
10002,"141 Adams Isle
Gutmannmouth, UT 513191",Lake Kayli1,5181,Texas1,Antarctica (the territory South of 601 deg S)
20002,"141 Adams Isle
Gutmannmouth, UT 513192",Lake Kayli2,5182,Texas2,Antarctica (the territory South of 602 deg S)
30002,"141 Adams Isle
Gutmannmouth, UT 513193",Lake Kayli3,5183,Texas3,Antarctica (the territory South of 603 deg S)
40002,"141 Adams Isle
Gutmannmouth, UT 513194",Lake Kayli4,5184,Texas4,Antarctica (the territory South of 604 deg S)
3,"669 Kunze Port
O'Connerland, MO 46590-2481",Carmenton,079,Washington,Aruba
10003,"669 Kunze Port
O'Connerland, MO 46590-24811",Carmenton1,0791,Washington1,Aruba1
20003,"669 Kunze Port
O'Connerland, MO 46590-24812",Carmenton2,0792,Washington2,Aruba2
30003,"669 Kunze Port
O'Connerland, MO 46590-24813",Carmenton3,0793,Washington3,Aruba3
40003,"669 Kunze Port
O'Connerland, MO 46590-24814",Carmenton4,0794,Washington4,Aruba4
4,"902 Zemlak Locks
South Jarvishaven, IA 40613-8806",South Jeromyborough,002,Arizona,India
10004,"902 Zemlak Locks
South Jarvishaven, IA 40613-88061",South Jeromyborough1,0021,Arizona1,India1
20004,"902 Zemlak Locks
South Jarvishaven, IA 40613-88062",South Jeromyborough2,0022,Arizona2,India2
30004,"902 Zemlak Locks
South Jarvishaven, IA 40613-88063",South Jeromyborough3,0023,Arizona3,India3
40004,"902 Zemlak Locks
South Jarvishaven, IA 40613-88064",South Jeromyborough4,0024,Arizona4,India4
5,"63069 Morgan Ville
East Loychester, OK 93191-6253",Zelmachester,431,Alabama,Cyprus
10005,"63069 Morgan Ville
East Loychester, OK 93191-62531",Zelmachester1,4311,Alabama1,Cyprus1
20005,"63069 Morgan Ville
East Loychester, OK 93191-62532",Zelmachester2,4312,Alabama2,Cyprus2
30005,"63069 Morgan Ville
East Loychester, OK 93191-62533",Zelmachester3,4313,Alabama3,Cyprus3
40005,"63069 Morgan Ville
East Loychester, OK 93191-62534",Zelmachester4,4314,Alabama4,Cyprus4
6,"09880 Mraz Gardens Apt. 297
Diannabury, NC 55660-7619",South Demarioberg,263,Arkansas,Netherlands
10006,"09880 Mraz Gardens Apt. 297
Diannabury, NC 55660-76191",South Demarioberg1,2631,Arkansas1,Netherlands1
20006,"09880 Mraz Gardens Apt. 297
Diannabury, NC 55660-76192",South Demarioberg2,2632,Arkansas2,Netherlands2
30006,"09880 Mraz Gardens Apt. 297
Diannabury, NC 55660-76193",South Demarioberg3,2633,Arkansas3,Netherlands3
40006,"09880 Mraz Gardens Apt. 297
Diannabury, NC 55660-76194",South Demarioberg4,2634,Arkansas4,Netherlands4
7,"69584 Harris Burg Apt. 617
Gibsonstad, MD 13232-5994",Carletonview,031,SouthDakota,Saint Kitts and Nevis
10007,"69584 Harris Burg Apt. 617
Gibsonstad, MD 13232-59941",Carletonview1,0311,SouthDakota1,Saint Kitts and Nevis1
20007,"69584 Harris Burg Apt. 617
Gibsonstad, MD 13232-59942",Carletonview2,0312,SouthDakota2,Saint Kitts and Nevis2
30007,"69584 Harris Burg Apt. 617
Gibsonstad, MD 13232-59943",Carletonview3,0313,SouthDakota3,Saint Kitts and Nevis3
40007,"69584 Harris Burg Apt. 617
Gibsonstad, MD 13232-59944",Carletonview4,0314,SouthDakota4,Saint Kitts and Nevis4
8,"9056 Dickinson Fall Suite 377
Aufderharton, TN 27077-6223",Port Clair,601,Oklahoma,Uzbekistan
10008,"9056 Dickinson Fall Suite 377
Aufderharton, TN 27077-62231",Port Clair1,6011,Oklahoma1,Uzbekistan1
20008,"9056 Dickinson Fall Suite 377
Aufderharton, TN 27077-62232",Port Clair2,6012,Oklahoma2,Uzbekistan2
