customer_id,address_id,date_from,address_type,date_to
1,1,2002-06-02 11:22:56,nlej,2000-10-23 01:01:49
10001,10001,2002-06-02 11:22:56,nlej1,2000-10-23 01:01:49
20001,20001,2002-06-02 11:22:56,nlej2,2000-10-23 01:01:49
30001,30001,2002-06-02 11:22:56,nlej3,2000-10-23 01:01:49
40001,40001,2002-06-02 11:22:56,nlej4,2000-10-23 01:01:49
2,2,1998-01-31 01:04:42,tvso,1993-04-30 00:07:14
10002,10002,1998-01-31 01:04:42,tvso1,1993-04-30 00:07:14
20002,20002,1998-01-31 01:04:42,tvso2,1993-04-30 00:07:14
30002,30002,1998-01-31 01:04:42,tvso3,1993-04-30 00:07:14
40002,40002,1998-01-31 01:04:42,tvso4,1993-04-30 00:07:14
3,3,2004-06-03 04:14:33,mmcn,2009-11-29 09:24:46
10003,10003,2004-06-03 04:14:33,mmcn1,2009-11-29 09:24:46
20003,20003,2004-06-03 04:14:33,mmcn2,2009-11-29 09:24:46
30003,30003,2004-06-03 04:14:33,mmcn3,2009-11-29 09:24:46
40003,40003,2004-06-03 04:14:33,mmcn4,2009-11-29 09:24:46
4,4,1988-05-25 20:48:03,hiou,1981-08-13 22:38:10
10004,10004,1988-05-25 20:48:03,hiou1,1981-08-13 22:38:10
20004,20004,1988-05-25 20:48:03,hiou2,1981-08-13 22:38:10
30004,30004,1988-05-25 20:48:03,hiou3,1981-08-13 22:38:10
40004,40004,1988-05-25 20:48:03,hiou4,1981-08-13 22:38:10
5,5,2022-09-25 06:45:24,spzi,2019-12-13 02:57:09
10005,10005,2022-09-25 06:45:24,spzi1,2019-12-13 02:57:09
20005,20005,2022-09-25 06:45:24,spzi2,2019-12-13 02:57:09
30005,30005,2022-09-25 06:45:24,spzi3,2019-12-13 02:57:09
40005,40005,2022-09-25 06:45:24,spzi4,2019-12-13 02:57:09
6,6,2012-02-02 06:48:41,wpuu,1980-04-22 13:30:51
10006,10006,2012-02-02 06:48:41,wpuu1,1980-04-22 13:30:51
20006,20006,2012-02-02 06:48:41,wpuu2,1980-04-22 13:30:51
30006,30006,2012-02-02 06:48:41,wpuu3,1980-04-22 13:30:51
