location_code,route_id,location_address_id,location_name
aaap,3254,3254,repellat
aaap1,32541,32541,repellat1
aaap2,32542,32542,repellat2
aaap3,32543,32543,repellat3
aaap4,32544,32544,repellat4
aaap5,32545,32545,repellat5
aaap6,32546,32546,repellat6
aaap7,32547,32547,repellat7
aaap8,32548,32548,repellat8
aaap9,32549,32549,repellat9
aaap1,13254,13254,repellat1
aaap11,132541,132541,repellat11
aaap12,132542,132542,repellat12
aaap13,132543,132543,repellat13
aaap14,132544,132544,repellat14
aaap15,132545,132545,repellat15
aaap16,132546,132546,repellat16
aaap17,132547,132547,repellat17
aaap18,132548,132548,repellat18
aaap19,132549,132549,repellat19
aaap2,23254,23254,repellat2
aaap21,232541,232541,repellat21
aaap22,232542,232542,repellat22
aaap23,232543,232543,repellat23
aaap24,232544,232544,repellat24
aaap25,232545,232545,repellat25
aaap26,232546,232546,repellat26
aaap27,232547,232547,repellat27
aaap28,232548,232548,repellat28
aaap29,232549,232549,repellat29
aaap3,33254,33254,repellat3
aaap31,332541,332541,repellat31
aaap32,332542,332542,repellat32
aaap33,332543,332543,repellat33
aaap34,332544,332544,repellat34
aaap35,332545,332545,repellat35
aaap36,332546,332546,repellat36
aaap37,332547,332547,repellat37
aaap38,332548,332548,repellat38
aaap39,332549,332549,repellat39
aaap4,43254,43254,repellat4
aaap41,432541,432541,repellat41
aaap42,432542,432542,repellat42
aaap43,432543,432543,repellat43
aaap44,432544,432544,repellat44
aaap45,432545,432545,repellat45
aaap46,432546,432546,repellat46
aaap47,432547,432547,repellat47
aaap48,432548,432548,repellat48
aaap49,432549,432549,repellat49
aabd,6276,6276,fugit
aabd1,62761,62761,fugit1
aabd2,62762,62762,fugit2
aabd3,62763,62763,fugit3
aabd4,62764,62764,fugit4
aabd5,62765,62765,fugit5
aabd6,62766,62766,fugit6
aabd7,62767,62767,fugit7
aabd8,62768,62768,fugit8
aabd9,62769,62769,fugit9
aabd1,16276,16276,fugit1
aabd11,162761,162761,fugit11
aabd12,162762,162762,fugit12
aabd13,162763,162763,fugit13
aabd14,162764,162764,fugit14
aabd15,162765,162765,fugit15
aabd16,162766,162766,fugit16
aabd17,162767,162767,fugit17
aabd18,162768,162768,fugit18
aabd19,162769,162769,fugit19
aabd2,26276,26276,fugit2
aabd21,262761,262761,fugit21
aabd22,262762,262762,fugit22
aabd23,262763,262763,fugit23
aabd24,262764,262764,fugit24
aabd25,262765,262765,fugit25
aabd26,262766,262766,fugit26
aabd27,262767,262767,fugit27
aabd28,262768,262768,fugit28
aabd29,262769,262769,fugit29
aabd3,36276,36276,fugit3
aabd31,362761,362761,fugit31
aabd32,362762,362762,fugit32
aabd33,362763,362763,fugit33
