location_code,actual_order_id,delivery_status_code,driver_employee_id,truck_id,delivery_date
aaap,1,laboriosam,1,1,2005-10-05 13:57:24
aaap1,10001,laboriosam1,10001,10001,2005-10-05 13:57:24
aaap2,20001,laboriosam2,20001,20001,2005-10-05 13:57:24
aaap3,30001,laboriosam3,30001,30001,2005-10-05 13:57:24
aaap4,40001,laboriosam4,40001,40001,2005-10-05 13:57:24
aabd,2,vel,2,2,1983-01-03 09:14:33
aabd1,10002,vel1,10002,10002,1983-01-03 09:14:33
aabd2,20002,vel2,20002,20002,1983-01-03 09:14:33
aabd3,30002,vel3,30002,30002,1983-01-03 09:14:33
aabd4,40002,vel4,40002,40002,1983-01-03 09:14:33
aaey,3,repudianda,3,3,2025-12-20 09:58:46
aaey1,10003,repudianda1,10003,10003,2025-12-20 09:58:46
aaey2,20003,repudianda2,20003,20003,2025-12-20 09:58:46
aaey3,30003,repudianda3,30003,30003,2025-12-20 09:58:46
aaey4,40003,repudianda4,40003,40003,2025-12-20 09:58:46
aaez,4,est,4,4,1981-03-11 00:13:55
aaez1,10004,est1,10004,10004,1981-03-11 00:13:55
aaez2,20004,est2,20004,20004,1981-03-11 00:13:55
aaez3,30004,est3,30004,30004,1981-03-11 00:13:55
aaez4,40004,est4,40004,40004,1981-03-11 00:13:55
aafe,5,qui,5,5,2002-05-13 00:32:46
aafe1,10005,qui1,10005,10005,2002-05-13 00:32:46
aafe2,20005,qui2,20005,20005,2002-05-13 00:32:46
aafe3,30005,qui3,30005,30005,2002-05-13 00:32:46
aafe4,40005,qui4,40005,40005,2002-05-13 00:32:46
aahu,6,quo,6,6,1970-04-09 08:56:20
aahu1,10006,quo1,10006,10006,1970-04-09 08:56:20
aahu2,20006,quo2,20006,20006,1970-04-09 08:56:20
aahu3,30006,quo3,30006,30006,1970-04-09 08:56:20
aahu4,40006,quo4,40006,40006,1970-04-09 08:56:20
aakn,7,facilis,7,7,2019-04-03 23:23:37
aakn1,10007,facilis1,10007,10007,2019-04-03 23:23:37
aakn2,20007,facilis2,20007,20007,2019-04-03 23:23:37
aakn3,30007,facilis3,30007,30007,2019-04-03 23:23:37
aakn4,40007,facilis4,40007,40007,2019-04-03 23:23:37
aala,8,quisquam,8,8,2017-05-15 21:36:33
aala1,10008,quisquam1,10008,10008,2017-05-15 21:36:33
aala2,20008,quisquam2,20008,20008,2017-05-15 21:36:33
aala3,30008,quisquam3,30008,30008,2017-05-15 21:36:33
aala4,40008,quisquam4,40008,40008,2017-05-15 21:36:33
aamh,9,et,9,9,1974-02-06 08:26:06
aamh1,10009,et1,10009,10009,1974-02-06 08:26:06
aamh2,20009,et2,20009,20009,1974-02-06 08:26:06
aamh3,30009,et3,30009,30009,1974-02-06 08:26:06
aamh4,40009,et4,40009,40009,1974-02-06 08:26:06
aanh,10,ea,10,10,2005-10-08 17:24:17
aanh1,10010,ea1,10010,10010,2005-10-08 17:24:17
aanh2,20010,ea2,20010,20010,2005-10-08 17:24:17
aanh3,30010,ea3,30010,30010,2005-10-08 17:24:17
aanh4,40010,ea4,40010,40010,2005-10-08 17:24:17
aanm,11,quis,11,11,2013-05-26 09:48:48
aanm1,10011,quis1,10011,10011,2013-05-26 09:48:48
aanm2,20011,quis2,20011,20011,2013-05-26 09:48:48
aanm3,30011,quis3,30011,30011,2013-05-26 09:48:48
aanm4,40011,quis4,40011,40011,2013-05-26 09:48:48
aaqv,12,voluptates,12,12,1975-12-15 07:30:49
aaqv1,10012,voluptates1,10012,10012,1975-12-15 07:30:49
aaqv2,20012,voluptates2,20012,20012,1975-12-15 07:30:49
aaqv3,30012,voluptates3,30012,30012,1975-12-15 07:30:49
aaqv4,40012,voluptates4,40012,40012,1975-12-15 07:30:49
aaqw,13,cumque,13,13,1991-11-19 22:56:59
aaqw1,10013,cumque1,10013,10013,1991-11-19 22:56:59
aaqw2,20013,cumque2,20013,20013,1991-11-19 22:56:59
aaqw3,30013,cumque3,30013,30013,1991-11-19 22:56:59
aaqw4,40013,cumque4,40013,40013,1991-11-19 22:56:59
aari,14,voluptas,14,14,1973-11-30 09:22:51
aari1,10014,voluptas1,10014,10014,1973-11-30 09:22:51
aari2,20014,voluptas2,20014,20014,1973-11-30 09:22:51
aari3,30014,voluptas3,30014,30014,1973-11-30 09:22:51
aari4,40014,voluptas4,40014,40014,1973-11-30 09:22:51
aauc,15,tempore,15,15,2013-10-18 03:07:11
aauc1,10015,tempore1,10015,10015,2013-10-18 03:07:11
aauc2,20015,tempore2,20015,20015,2013-10-18 03:07:11
aauc3,30015,tempore3,30015,30015,2013-10-18 03:07:11
aauc4,40015,tempore4,40015,40015,2013-10-18 03:07:11
aaxp,16,in,16,16,2015-02-13 23:33:27
aaxp1,10016,in1,10016,10016,2015-02-13 23:33:27
aaxp2,20016,in2,20016,20016,2015-02-13 23:33:27
aaxp3,30016,in3,30016,30016,2015-02-13 23:33:27
aaxp4,40016,in4,40016,40016,2015-02-13 23:33:27
