truck_id,truck_licence_number,truck_details
1,28115,Fugit aut ex fugiat aut repellat.
10001,281151,Fugit aut ex fugiat aut repellat.1
20001,281152,Fugit aut ex fugiat aut repellat.2
30001,281153,Fugit aut ex fugiat aut repellat.3
40001,281154,Fugit aut ex fugiat aut repellat.4
2,13150,Sit cupiditate accusamus deserunt velit quo necessitatibus occaecati.
10002,131501,Sit cupiditate accusamus deserunt velit quo necessitatibus occaecati.1
20002,131502,Sit cupiditate accusamus deserunt velit quo necessitatibus occaecati.2
30002,131503,Sit cupiditate accusamus deserunt velit quo necessitatibus occaecati.3
40002,131504,Sit cupiditate accusamus deserunt velit quo necessitatibus occaecati.4
3,15708,Est beatae exercitationem officiis nostrum nemo nam reiciendis.
10003,157081,Est beatae exercitationem officiis nostrum nemo nam reiciendis.1
20003,157082,Est beatae exercitationem officiis nostrum nemo nam reiciendis.2
30003,157083,Est beatae exercitationem officiis nostrum nemo nam reiciendis.3
40003,157084,Est beatae exercitationem officiis nostrum nemo nam reiciendis.4
4,28743,Accusantium aliquam fugit quis molestias mollitia.
10004,287431,Accusantium aliquam fugit quis molestias mollitia.1
20004,287432,Accusantium aliquam fugit quis molestias mollitia.2
30004,287433,Accusantium aliquam fugit quis molestias mollitia.3
40004,287434,Accusantium aliquam fugit quis molestias mollitia.4
5,6923,Amet sequi adipisci optio totam.
10005,69231,Amet sequi adipisci optio totam.1
20005,69232,Amet sequi adipisci optio totam.2
30005,69233,Amet sequi adipisci optio totam.3
40005,69234,Amet sequi adipisci optio totam.4
6,6166,Non sit cum vel odit et.
10006,61661,Non sit cum vel odit et.1
20006,61662,Non sit cum vel odit et.2
30006,61663,Non sit cum vel odit et.3
40006,61664,Non sit cum vel odit et.4
7,16633,Consequatur temporibus aut aliquam modi voluptatum.
10007,166331,Consequatur temporibus aut aliquam modi voluptatum.1
20007,166332,Consequatur temporibus aut aliquam modi voluptatum.2
30007,166333,Consequatur temporibus aut aliquam modi voluptatum.3
40007,166334,Consequatur temporibus aut aliquam modi voluptatum.4
8,13672,Velit nemo commodi doloribus in accusamus at consequatur non.
10008,136721,Velit nemo commodi doloribus in accusamus at consequatur non.1
20008,136722,Velit nemo commodi doloribus in accusamus at consequatur non.2
30008,136723,Velit nemo commodi doloribus in accusamus at consequatur non.3
40008,136724,Velit nemo commodi doloribus in accusamus at consequatur non.4
9,7145,Autem et ratione ea pariatur doloremque id eaque.
10009,71451,Autem et ratione ea pariatur doloremque id eaque.1
20009,71452,Autem et ratione ea pariatur doloremque id eaque.2
30009,71453,Autem et ratione ea pariatur doloremque id eaque.3
40009,71454,Autem et ratione ea pariatur doloremque id eaque.4
10,13855,Eum similique ut velit exercitationem.
10010,138551,Eum similique ut velit exercitationem.1
20010,138552,Eum similique ut velit exercitationem.2
30010,138553,Eum similique ut velit exercitationem.3
40010,138554,Eum similique ut velit exercitationem.4
11,299,Debitis optio ratione qui quidem doloremque eum.
10011,2991,Debitis optio ratione qui quidem doloremque eum.1
20011,2992,Debitis optio ratione qui quidem doloremque eum.2
30011,2993,Debitis optio ratione qui quidem doloremque eum.3
40011,2994,Debitis optio ratione qui quidem doloremque eum.4
12,23259,Ut vitae voluptates vero quis totam ullam dicta.
10012,232591,Ut vitae voluptates vero quis totam ullam dicta.1
20012,232592,Ut vitae voluptates vero quis totam ullam dicta.2
30012,232593,Ut vitae voluptates vero quis totam ullam dicta.3
40012,232594,Ut vitae voluptates vero quis totam ullam dicta.4
13,26293,Doloribus voluptatibus occaecati sint voluptas.
10013,262931,Doloribus voluptatibus occaecati sint voluptas.1
20013,262932,Doloribus voluptatibus occaecati sint voluptas.2
30013,262933,Doloribus voluptatibus occaecati sint voluptas.3
40013,262934,Doloribus voluptatibus occaecati sint voluptas.4
14,8251,Autem ratione quae dolore possimus.
10014,82511,Autem ratione quae dolore possimus.1
20014,82512,Autem ratione quae dolore possimus.2
30014,82513,Autem ratione quae dolore possimus.3
40014,82514,Autem ratione quae dolore possimus.4
15,3,Ipsa amet deserunt ad qui animi harum.
10015,31,Ipsa amet deserunt ad qui animi harum.1
20015,32,Ipsa amet deserunt ad qui animi harum.2
30015,33,Ipsa amet deserunt ad qui animi harum.3
40015,34,Ipsa amet deserunt ad qui animi harum.4
16,16643,Est laborum corporis animi id qui.
10016,166431,Est laborum corporis animi id qui.1
20016,166432,Est laborum corporis animi id qui.2
30016,166433,Est laborum corporis animi id qui.3
40016,166434,Est laborum corporis animi id qui.4
17,6602,Aliquam et aut adipisci perspiciatis.
10017,66021,Aliquam et aut adipisci perspiciatis.1
20017,66022,Aliquam et aut adipisci perspiciatis.2
30017,66023,Aliquam et aut adipisci perspiciatis.3
40017,66024,Aliquam et aut adipisci perspiciatis.4
18,29777,Praesentium qui vero sequi repudiandae dolor.
10018,297771,Praesentium qui vero sequi repudiandae dolor.1
20018,297772,Praesentium qui vero sequi repudiandae dolor.2
30018,297773,Praesentium qui vero sequi repudiandae dolor.3
40018,297774,Praesentium qui vero sequi repudiandae dolor.4
19,869,Provident maxime eveniet delectus.
10019,8691,Provident maxime eveniet delectus.1
20019,8692,Provident maxime eveniet delectus.2
30019,8693,Provident maxime eveniet delectus.3
40019,8694,Provident maxime eveniet delectus.4
20,25628,Incidunt rerum rerum aliquid laboriosam.
10020,256281,Incidunt rerum rerum aliquid laboriosam.1
20020,256282,Incidunt rerum rerum aliquid laboriosam.2
30020,256283,Incidunt rerum rerum aliquid laboriosam.3
40020,256284,Incidunt rerum rerum aliquid laboriosam.4
21,12466,Aut qui est id aliquam molestiae qui perferendis.
10021,124661,Aut qui est id aliquam molestiae qui perferendis.1
20021,124662,Aut qui est id aliquam molestiae qui perferendis.2
30021,124663,Aut qui est id aliquam molestiae qui perferendis.3
40021,124664,Aut qui est id aliquam molestiae qui perferendis.4
22,14682,Hic vitae rerum temporibus repellendus.
10022,146821,Hic vitae rerum temporibus repellendus.1
20022,146822,Hic vitae rerum temporibus repellendus.2
30022,146823,Hic vitae rerum temporibus repellendus.3
40022,146824,Hic vitae rerum temporibus repellendus.4
23,14534,Odio alias quos consequatur aperiam.
10023,145341,Odio alias quos consequatur aperiam.1
20023,145342,Odio alias quos consequatur aperiam.2
30023,145343,Odio alias quos consequatur aperiam.3
40023,145344,Odio alias quos consequatur aperiam.4
24,4898,Quis sint quae deserunt expedita nihil molestiae laborum.
10024,48981,Quis sint quae deserunt expedita nihil molestiae laborum.1
20024,48982,Quis sint quae deserunt expedita nihil molestiae laborum.2
30024,48983,Quis sint quae deserunt expedita nihil molestiae laborum.3
40024,48984,Quis sint quae deserunt expedita nihil molestiae laborum.4
25,235,Vitae reprehenderit ratione ullam.
10025,2351,Vitae reprehenderit ratione ullam.1
20025,2352,Vitae reprehenderit ratione ullam.2
30025,2353,Vitae reprehenderit ratione ullam.3
40025,2354,Vitae reprehenderit ratione ullam.4
26,15398,Quos hic quia similique possimus.
10026,153981,Quos hic quia similique possimus.1
20026,153982,Quos hic quia similique possimus.2
30026,153983,Quos hic quia similique possimus.3
40026,153984,Quos hic quia similique possimus.4
27,25625,Veritatis aliquam suscipit eveniet et totam veniam impedit.
10027,256251,Veritatis aliquam suscipit eveniet et totam veniam impedit.1
20027,256252,Veritatis aliquam suscipit eveniet et totam veniam impedit.2
30027,256253,Veritatis aliquam suscipit eveniet et totam veniam impedit.3
40027,256254,Veritatis aliquam suscipit eveniet et totam veniam impedit.4
28,12464,Accusamus iure facere illo eaque.
10028,124641,Accusamus iure facere illo eaque.1
20028,124642,Accusamus iure facere illo eaque.2
30028,124643,Accusamus iure facere illo eaque.3
40028,124644,Accusamus iure facere illo eaque.4
29,25138,Deleniti nisi quia sunt.
10029,251381,Deleniti nisi quia sunt.1
20029,251382,Deleniti nisi quia sunt.2
30029,251383,Deleniti nisi quia sunt.3
40029,251384,Deleniti nisi quia sunt.4
30,2369,Consequatur molestiae voluptatem commodi.
10030,23691,Consequatur molestiae voluptatem commodi.1
20030,23692,Consequatur molestiae voluptatem commodi.2
30030,23693,Consequatur molestiae voluptatem commodi.3
40030,23694,Consequatur molestiae voluptatem commodi.4
31,6107,Voluptatibus voluptates corrupti distinctio.
10031,61071,Voluptatibus voluptates corrupti distinctio.1
20031,61072,Voluptatibus voluptates corrupti distinctio.2
30031,61073,Voluptatibus voluptates corrupti distinctio.3
40031,61074,Voluptatibus voluptates corrupti distinctio.4
32,25808,Et maiores excepturi aut et voluptatum.
10032,258081,Et maiores excepturi aut et voluptatum.1
20032,258082,Et maiores excepturi aut et voluptatum.2
30032,258083,Et maiores excepturi aut et voluptatum.3
40032,258084,Et maiores excepturi aut et voluptatum.4
33,1656,Quo laudantium voluptas ut aut.
10033,16561,Quo laudantium voluptas ut aut.1
20033,16562,Quo laudantium voluptas ut aut.2
30033,16563,Quo laudantium voluptas ut aut.3
