"Campus","Year","CampusFee",
"1","2021","79702",
"2","2025","79485028",
"3","1999","2921",
"4","1988","53435085",
"5","1973","1431",
"6","2011","7",
"7","1975","8384542",
"8","2008","221480",
"9","2002","575777562",
"10","1988","311377",
"11","2019","8",
"12","2010","3",
"13","2016","431",
"14","2006","983376320",
"15","1973","5761128",
"16","2013","46",
"17","1984","4745",
"18","2002","350852673",
"19","2006","442500620",
"20","2014","1",
"21","2005","91",
"22","1990","613639",
"23","2012","6033224",
"24","1992","4827",
"25","1984","51106139",
"26","2020","564340440",
"27","1976","0",
"28","1999","0",
"29","1978","104",
"30","1993","0",
"31","2013","93191",
"32","2022","0",
"33","1988","6995",
"34","1986","990326",
"35","1989","5609",
"36","2015","885286",
"37","2005","4",
"38","2007","387332",
"39","1985","33",
"40","2011","689",
"41","1973","574476185",
"42","1992","1",
"43","2009","0",
"44","1984","69",
"45","1976","3225373",
"46","2025","3",
"47","1973","83728",
"48","2023","67706",
"49","2022","57900",
"50","2005","79507533",
"51","1987","71776181",
"52","1974","0",
"53","2021","795049",
"54","1990","545402",
"55","2022","65311458",
"56","2020","50152",
"57","1974","1690565",
"58","1978","9017616",
"59","1986","920048198",
"60","2014","230562",
"61","1976","3916",
"62","1974","76",
"63","1976","8468",
"64","1980","111",
"65","1977","788",
"66","2017","3844683",
"67","1973","41061194",
"68","1983","4688272",
"69","2009","5957",
"70","1997","25249211",
"71","2018","35",
"72","1989","973",
"73","2006","0",
"74","2015","38778",
"75","1981","4706163",
"76","1979","96691",
"77","1974","46599014",
"78","2016","479",
"79","2004","80984",
"80","1974","0",
"81","1990","21",
"82","2022","2",
"83","1994","8385",
"84","2017","3",
"85","1978","584245779",
"86","1999","42754756",
"87","2004","33976",
"88","1997","98",
"89","1988","8023",
"90","2019","190",
"91","1992","44498710",
"92","1996","778",
"93","2003","37713197",
"94","2011","192",
"95","2001","319445",
"96","2003","646575",
"97","2010","10933428",
"98","2008","5879797",
"99","1978","89561892",
"100","2004","46958",
"101","2011","253435152",
"102","1984","44",
"103","2024","0",
"104","1991","476810",
"105","1997","945",
"106","1984","40295",
"107","1979","57482340",
"108","2013","0",
"109","2022","0",
"110","2018","4184",
"111","2022","50",
"112","1974","39731",
"113","1988","309674",
"114","1975","4326",
"115","1987","24301",
"116","2014","92",
"117","1983","0",
"118","1978","0",
"119","2020","95175",
"120","1973","5",
"121","1987","598014",
"122","2020","4119",
"123","1999","7",
"124","2003","2820874",
"125","1991","622",
"126","2009","553",
"127","2005","3812",
"128","2024","330104",
"129","2023","72",
"130","2012","5",
"131","2021","0",
"132","1984","65",
"133","2004","12",
"134","2025","539230618",
"135","1995","389799",
"136","1977","537",
"137","1982","52088",
"138","2011","5076",
"139","2022","782",
"140","1970","0",
"141","1984","597707",
"142","2010","0",
"143","2021","1",
"144","2005","41",
"145","1976","7589",
"146","1981","5196",
"147","2017","127473",
"148","2020","7454",
"149","2004","507",
"150","2004","5",
"151","2000","2140",
"152","2018","52963097",
"153","1973","981508454",
"154","2022","36803",
"155","1999","5277766",
"156","2024","2",
"157","2003","6923",
"158","2008","201797",
"159","1976","0",
"160","2025","723",
"161","1984","55",
"162","1981","559498966",
"163","1988","1",
"164","1983","9",
"165","1987","20157750",
"166","2024","24478070",
"167","1989","0",
"168","2022","182927",
"169","1999","19",
"170","2025","5315",
"171","2009","768",
"172","1978","5595633",
"173","1990","7072",
"174","1986","36",
"175","1975","565441",
"176","1982","94",
"177","2005","792",
"178","1971","0",
"179","2019","0",
"180","2014","820426849",
"181","2004","7198",
"182","2019","5577",
"183","2020","4442216",
"184","2015","7304858",
"185","1971","475342",
"186","1995","309072086",
"187","2025","29254185",
"188","1979","2839295",
"189","1977","589295",
"190","2017","48142076",
"191","2002","10571",
"192","1976","0",
"193","1997","9",
"194","1970","3",
"195","1976","12102",
"196","1996","0",
"197","1987","965380484",
"198","1999","64981560",
"199","1985","82998",
"200","1989","44",
"201","2005","8598",
"202","1974","0",
"203","1992","30",
"204","1984","881",
"205","1981","1344347",
"206","1988","3676",
"207","1973","5239",
"208","1985","7610873",
"209","1995","499",
"210","1986","36166",
"211","2023","0",
"212","1981","380543",
"213","1994","995",
"214","1981","96869",
"215","2023","186",
"216","1984","7",
"217","2011","939178069",
"218","1994","4",
"219","1984","9",
"220","1983","957390740",
"221","1992","576",
"222","2012","802657",
"223","1988","638990141",
"224","2004","0",
"225","2010","2512",
"226","1984","4",
"227","1988","143",
"228","2016","0",
"229","1980","0",
"230","2012","50884376",
"231","1989","52067827",
"232","2011","194060107",
"233","1977","7611",
"234","2016","9724",
"235","2020","71750",
"236","1985","7735",
"237","2016","2255",
"238","2004","40528",
"239","2025","839",
"240","1999","99",
"241","2016","52524",
"242","1973","0",
"243","1978","31098",
"244","2024","179105",
"245","2018","4535",
"246","2013","34503",
"247","2021","0",
"248","1987","117932",
"249","2016","54253709",
"250","2017","661337",
"251","2020","10286261",
"252","1998","0",
"253","2025","2155276",
"254","2022","833",
"255","1990","7",
"256","2018","552984",
"257","1990","683",
"258","2023","3139",
"259","2015","169274",
"260","2003","48291",
"261","2006","6750128",
"262","1991","0",
"263","2015","7",
"264","1981","98",
"265","2017","3075699",
"266","2000","21",
"267","1990","525772057",
"268","2025","0",
"269","2001","3842256",
"270","1991","557758509",
"271","1984","94210",
"272","1979","9",
"273","1972","23672128",
"274","1989","292261",
"275","2012","63717",
"276","1987","717",
"277","2023","44399",
"278","1991","109294",
"279","1985","721258",
"280","2025","73900365",
"281","2016","0",
"282","2022","7932773",
"283","1975","4",
"284","1997","995545",
"285","2019","7",
"286","1978","28493248",
"287","1972","38409535",
"288","2010","712048070",
"289","2019","839",
"290","2022","42322274",
"291","1993","8801298",
"292","2011","654010",
"293","2007","18",
"294","1973","433",
"295","2018","350043",
"296","1987","0",
"297","1975","479985488",
"298","1974","40",
"299","1977","64",
"300","1988","155056",
"301","2021","28",
"302","2008","7",
"303","1989","5523",
"304","2008","2",
"305","2019","7773",
"306","1975","7748932",
"307","2024","61432639",
"308","2013","496",
"309","1987","151632",
"310","1971","32",
"311","2001","1716931",
"312","2016","48",
"313","2004","13504632",
"314","1980","8385",
"315","1995","77",
"316","1979","66390",
"317","2022","37854",
"318","2011","53692",
"319","1974","96967",
"320","2020","463751800",
"321","2003","58424958",
"322","2001","37",
"323","1997","15323",
"324","2010","543",
"325","1996","69",
"326","1978","6924201",
"327","2022","7963201",
"328","1993","417",
"329","1996","81722",
"330","2007","5903808",
"331","2018","6",
"332","2019","289",
"333","2021","30987",
"334","2012","85",
"335","2013","0",
"336","1996","9",
"337","2022","6139",
"338","2020","428",
"339","1979","81871481",
"340","2002","0",
"341","1977","978",
"342","2007","8666",
"343","1972","843684666",
"344","1973","34466970",
"345","1976","8",
"346","2020","95724412",
"347","1995","949142",
"348","1977","37",
"349","1977","243",
"350","2005","820345517",
"351","1977","4363679",
"352","2008","61686",
"353","2017","45",
"354","2024","29",
"355","2013","762880877",
"356","1974","4",
"357","2009","4",
"358","2001","0",
"359","2008","313",
"360","1996","0",
"361","2020","7",
"362","1977","219811",
"363","2022","524550",
"364","1994","0",
"365","1988","5",
"366","1990","0",
"367","1995","644",
"368","2016","24",
"369","2007","66",
"370","1974","5179949",
"371","1976","8",
"372","2025","2360",
"373","1992","12",
