"Year","Campus","Degrees",
"1970","15","2",
"1970","40","8",
"1970","59","1",
"1970","132","9",
"1970","147","5",
"1970","148","8",
"1970","195","5",
"1970","202","1",
"1970","257","9",
"1970","333","1",
"1970","362","8",
"1970","381","3",
"1970","419","4",
"1970","434","7",
"1970","512","2",
"1970","567","1",
"1970","588","3",
"1970","592","8",
"1970","596","9",
"1970","609","5",
"1970","847","7",
"1970","893","3",
"1970","967","3",
"1970","972","7",
"1970","987","8",
"1970","1097","1",
"1970","1127","5",
"1970","1253","3",
"1970","1280","8",
"1970","1486","0",
"1970","1518","1",
"1970","1528","3",
"1970","1632","2",
"1970","1635","3",
"1970","1936","1",
"1970","1979","2",
"1970","2068","5",
"1970","2092","4",
"1970","2132","1",
"1970","2162","7",
"1970","2171","3",
"1970","2236","2",
"1970","2278","5",
"1970","2295","5",
"1970","2452","8",
"1970","2472","8",
"1970","2528","5",
"1970","2548","5",
"1970","2640","6",
"1970","2676","2",
"1970","2788","6",
"1970","2790","3",
"1970","2834","6",
"1970","2839","7",
"1970","2855","0",
"1970","3056","2",
"1970","3061","1",
"1970","3126","1",
"1970","3159","7",
"1970","3160","1",
"1970","3297","1",
"1970","3359","3",
"1970","3433","3",
"1970","3549","5",
"1970","3586","7",
"1970","3643","5",
"1970","3703","9",
"1970","3716","3",
"1970","3777","7",
"1970","3787","9",
"1970","3808","6",
"1970","3855","3",
"1970","3864","0",
"1970","3893","2",
"1970","3939","3",
"1970","4192","5",
"1970","4246","7",
"1970","4272","5",
"1970","4352","0",
"1970","4573","7",
"1970","4692","6",
"1970","4759","6",
"1970","4878","6",
"1970","4881","9",
"1970","4921","4",
"1970","4975","1",
"1970","4987","6",
"1970","5008","1",
"1970","5028","0",
"1970","5350","5",
"1970","5408","6",
"1970","5414","8",
"1970","5451","6",
"1970","5496","0",
"1970","5751","8",
"1970","5772","7",
"1970","6068","8",
"1970","6104","1",
"1970","6123","3",
"1970","6133","6",
"1970","6278","7",
"1970","6332","4",
"1970","6444","0",
"1970","6448","7",
"1970","6547","4",
"1970","6629","9",
"1970","6674","2",
"1970","6728","3",
"1970","6730","4",
"1970","6762","2",
"1970","6785","2",
"1970","6837","7",
"1970","6850","2",
"1970","6866","0",
"1970","6899","7",
"1970","7058","6",
"1970","7080","8",
"1970","7344","3",
"1970","7376","9",
"1970","7532","1",
"1970","7617","6",
"1970","7653","9",
"1970","7753","2",
"1970","7829","5",
"1970","7868","3",
"1970","7892","3",
"1970","7927","4",
"1970","7952","7",
"1970","7963","6",
"1970","7988","3",
"1970","8012","5",
"1970","8020","7",
"1970","8053","0",
"1970","8076","5",
"1970","8164","2",
"1970","8259","6",
"1970","8290","6",
"1970","8381","5",
"1970","8387","9",
"1970","8499","5",
"1970","8580","1",
"1970","8600","1",
"1970","8632","1",
"1970","8656","1",
"1970","8723","5",
"1970","8854","4",
"1970","8867","5",
"1970","8870","7",
"1970","9012","4",
"1970","9046","5",
"1970","9059","5",
"1970","9085","8",
"1970","9316","4",
"1970","9335","3",
"1970","9433","2",
"1970","9507","0",
"1970","9789","3",
"1971","17","0",
"1971","31","4",
"1971","131","3",
"1971","266","5",
"1971","312","0",
"1971","357","4",
"1971","365","6",
"1971","414","1",
"1971","617","4",
"1971","675","2",
"1971","683","8",
"1971","706","0",
"1971","896","7",
"1971","947","9",
"1971","980","2",
"1971","1189","7",
