"Campus","Discipline","Year","Undergraduate","Graduate",
"1","798498","1995","2","3",
"2","42","1992","4","2",
"3","35","2000","2","7",
"4","63","1992","6","2",
"5","80","1978","8","8",
"6","0","2023","5","8",
"7","8027","1997","1","9",
"8","281","2011","2","6",
"9","3352","1977","6","1",
"10","3297","2022","5","6",
"11","35007261","1985","9","3",
"12","55490424","2003","5","6",
"13","46","1999","9","1",
"14","57","2023","5","5",
"15","4267921","2000","2","4",
"16","83990","2023","6","7",
"17","55544917","1976","7","8",
"18","6286998","1978","5","4",
"19","922687964","1996","7","6",
"20","5","1972","5","9",
"21","25834237","2001","7","6",
"22","56","2009","6","6",
"23","9237","2019","9","9",
"24","99025289","2016","9","2",
"25","71836294","1983","3","7",
"26","798800178","1976","1","7",
"27","6","1988","8","9",
"28","858089325","1987","6","7",
"29","7693209","1995","2","6",
"30","45456009","1993","4","8",
"31","1928474","1996","3","5",
"32","3","2020","8","2",
"33","976068948","1984","8","6",
"34","8660908","2011","5","4",
"35","6","2012","2","9",
"36","90946497","2001","1","8",
"37","5224027","1978","1","1",
"38","279315","2013","9","3",
"39","65","1993","8","1",
"40","5127","1976","7","9",
"41","51345","2002","7","7",
"42","73","1971","7","6",
"43","9838","2019","9","4",
"44","67","1971","3","1",
"45","9243301","1993","1","5",
"46","0","2007","9","2",
"47","83367","1991","6","2",
"48","5049","2008","7","6",
"49","44","1983","7","6",
"50","9","1982","9","2",
"51","66017603","1976","8","5",
"52","0","1984","9","3",
"53","530131593","1972","2","8",
"54","9700","1993","5","6",
"55","617461","2012","3","5",
"56","6456","2002","1","1",
"57","86712727","1978","3","5",
"58","49012","1976","7","5",
"59","905730555","1998","7","5",
"60","63","1979","4","5",
"61","75677002","2021","2","5",
"62","0","1975","5","3",
"63","24","2016","6","5",
"64","303","1996","8","1",
"65","0","1995","2","6",
"66","4","2004","3","2",
"67","2440208","2009","6","2",
"68","58913904","2023","8","4",
"69","41065270","1982","5","1",
"70","497593","2006","7","1",
"71","400565","2025","6","6",
"72","5649","1992","8","2",
"73","66512","2019","5","3",
"74","7594","1971","1","1",
"75","585406","1986","1","9",
"76","42","1973","5","4",
"77","70","2006","6","2",
"78","0","1996","1","2",
"79","8486","1976","1","3",
"80","10225948","1975","4","2",
"81","190662784","1980","7","5",
"82","0","2013","4","7",
"83","1676506","2012","3","1",
"84","989952129","1989","3","6",
"85","0","1974","8","1",
"86","500532","1979","7","5",
"87","761359","2024","5","4",
"88","8371","2013","9","6",
"89","1575","1984","8","7",
"90","820781","1979","9","7",
"91","0","1996","6","5",
"92","6","2001","8","2",
"93","68","1985","4","8",
"94","455667","1998","1","4",
"95","896","1982","7","6",
"96","5","1989","6","2",
"97","4","2019","9","6",
"98","263","1993","2","3",
"99","5","1973","1","1",
"100","634722","1974","3","4",
"101","3077","1986","6","5",
"102","960","2005","4","2",
"103","28972445","2009","1","9",
