"Campus","Year","TotalEnrollment_AY","FTE_AY",
"1","1977","3027600","384",
"2","1972","89441051","36",
"3","2012","221","577",
"4","1974","0","407",
"5","2004","3310341","896",
"6","1996","5709626","388",
"7","2001","0","585",
"8","2006","24","207",
"9","1996","241247","186",
"10","2016","3","809",
"11","1974","481","148",
"12","2005","15885120","321",
"13","1976","574753","50",
"14","2023","0","120",
"15","1981","1308","502",
"16","2018","0","485",
"17","2012","171624684","812",
"18","2000","20552917","128",
"19","2017","0","822",
"20","1976","29","703",
"21","1992","0","811",
"22","1982","1785","718",
"23","2006","59177854","6",
"24","1970","519","585",
"25","1991","354916","207",
"26","1990","2","538",
"27","1974","36850","122",
"28","2003","53365","412",
"29","1974","883236","465",
"30","2016","15601","4",
"31","1977","27747","274",
"32","1974","922072356","603",
"33","2015","0","627",
"34","2003","1","746",
"35","1979","4773742","183",
"36","1995","715","803",
"37","2011","45387","752",
"38","2011","5","860",
"39","1976","0","183",
"40","2024","2121890","650",
"41","2021","146876444","680",
"42","1986","285","640",
"43","1984","0","622",
"44","1992","7","322",
"45","2014","238356561","935",
"46","2021","7","105",
"47","1999","239337","276",
"48","2019","1073","537",
"49","2005","283980","612",
"50","1996","4","724",
"51","1972","385322","648",
"52","2006","23255","535",
"53","2019","56","467",
"54","1974","0","495",
"55","1979","651732070","703",
"56","1977","64119","0",
"57","1984","1","481",
"58","1980","0","530",
"59","2012","785005","978",
"60","1977","30","444",
"61","1982","550","310",
"62","2010","0","567",
"63","2014","376327145","999",
"64","2011","188","207",
"65","1993","51","669",
"66","2007","0","240",
"67","1974","3280","968",
"68","1990","19922404","584",
"69","1975","18731933","886",
"70","1980","0","73",
"71","2002","5120477","881",
"72","2017","6444","728",
"73","2010","108","651",
"74","2014","20876","178",
"75","1981","0","349",
"76","1988","153","692",
"77","1979","0","192",
"78","1990","71","888",
"79","2018","1353545","34",
"80","1982","14190255","240",
"81","2007","301753","196",
"82","2015","136","730",
"83","1992","6694451","197",
"84","2021","27","81",
"85","2016","0","747",
"86","2007","64645743","768",
"87","1972","2","741",
"88","2015","63","996",
"89","2017","735","287",
"90","2002","7755","170",
"91","2003","461610","930",
"92","1985","1910563","926",
"93","1980","235605","514",
"94","1977","14329","155",
"95","1984","531398024","24",
"96","1995","36308","542",
"97","1999","0","347",
"98","2013","283523099","888",
"99","1987","293983567","253",
"100","2015","159","78",
"101","2005","645893","465",
"102","1991","2771","771",
"103","1988","0","95",
"104","2013","2","388",
"105","1994","6","163",
"106","1995","154069487","263",
"107","1996","1167571","605",
"108","1976","0","449",
"109","1991","25306","568",
"110","2017","100718","896",
"111","1977","1554496","62",
"112","2006","80","419",
"113","2019","9375870","866",
"114","1977","1187824","550",
"115","2021","6415","692",
"116","1978","23370298","728",
"117","2006","168180155","991",
"118","2002","4665","597",
