"Campus","Year","Faculty",
"1","2021","82.213086576",
"2","1990","943039.81058943",
"3","1984","3.97253",
"4","2022","902505.8273473",
"5","1998","9432688.84",
"6","2021","0",
"7","1987","0",
"8","1980","0",
"9","1995","0",
"10","1981","47.651566959",
"11","1982","165.06470691",
"12","1994","29",
"13","2004","2636190.83892",
"14","2011","415467.99",
"15","1979","1.6307016",
"16","1981","0",
"17","1978","1086.5330528",
"18","1970","0",
"19","2020","303603.2634018",
"20","2022","0",
"21","1989","47794.301945917",
"22","2006","6.3905986",
"23","1989","4.703",
"24","1970","794.8270307",
"25","1973","9844570.8265077",
"26","1996","0",
"27","1988","415.9385",
"28","1991","0",
"29","2004","0",
"30","1990","668361.10358",
"31","1992","0",
"32","2011","95.3108",
"33","2018","84273",
"34","2008","2.3",
"35","1997","204341.303262",
"36","1979","1.67443",
"37","1990","14170.5",
"38","2006","2.629672404",
"39","2009","7440.89850336",
"40","2024","0",
"41","2021","78554308.249674",
"42","2023","108388",
"43","2018","186446366.19537",
"44","2022","24703.22709787",
"45","1988","394207.51",
"46","2003","365529.45397441",
"47","2011","963525.148",
"48","1978","47.6",
"49","1985","957.4",
"50","1988","645.200755",
"51","2008","164",
"52","2001","181537",
"53","2011","9104938.6",
"54","2017","7989900",
"55","1990","7680.68",
"56","2022","0",
"57","2014","189809.67862",
"58","1976","127423.7267",
"59","1981","0",
"60","1989","393127.74518289",
"61","2014","32.269",
"62","1988","21894.2443",
"63","1992","1735614.339649",
"64","1998","0",
"65","2012","0",
"66","2009","0",
"67","2004","352973776.7",
"68","2012","383717",
"69","2023","0.2",
"70","1999","234",
"71","2021","54530",
"72","2003","14375.935151",
"73","2019","62033.9",
"74","1993","4171211.8665032",
"75","1978","30910343.377",
"76","2014","2046.8692",
"77","2025","3.660660303",
"78","2025","230664.1",
"79","1996","0",
"80","2011","1137628.42",
"81","1994","63.3",
"82","2011","0.69816686",
"83","2019","5020.145",
"84","2006","486617209.91876",
"85","2002","2.666387",
"86","2021","3.028",
"87","2011","0",
"88","1984","40.64",
"89","2014","439.8",
"90","1991","3",
"91","1982","44.7978",
"92","2021","0",
"93","1989","491.87",
"94","2023","415.962683",
"95","2021","240344",
"96","1971","3980777.3",
"97","2001","417968015.18867",
"98","1987","5.996",
"99","1994","2240863.004311",
"100","2004","2517110.7",
"101","2009","1376137.903536",
"102","2009","1474524.626",
"103","2005","16.843",
"104","1999","0",
"105","1988","46294.677975672",
"106","1995","0",
"107","1985","85401.867225",
"108","2004","0",
"109","2011","573423.55237",
"110","2021","67655.524",
"111","2008","0",
"112","1996","55948.9",
"113","2022","38",
"114","1983","43.93",
"115","1994","0.1608",
"116","1977","0",
"117","1999","101.17975407",
"118","1995","9085818.7455178",
"119","1988","6877953.84323",
"120","2018","4",
"121","1971","5",
"122","2010","60840907.850465",
"123","1988","2",
"124","1994","522885.67",
"125","1975","0",
"126","1999","1763.092880406",
"127","2021","2.741",
"128","1999","184.358944055",
"129","2007","0.032",
"130","1999","0.38498",
"131","2017","19488.5",
"132","1984","3657310.9639",
"133","1988","5207950.4275",
"134","2007","44143577.55",
"135","2007","0.2024",
"136","1970","38946.2200995",
"137","2021","0",
"138","1990","18499.349317",
"139","1983","12961.8886",
"140","2008","5681745.6223133",
"141","1979","3340.22360045",
"142","2008","9000465.6",
"143","2019","0",
"144","2001","62450714.39",
"145","2020","17102.1898",
"146","1977","11907.99",
"147","1999","19446435",
"148","2024","87.816",
"149","2018","116136261.084",
"150","1983","359",
"151","1977","0",
"152","2012","62263",
"153","1989","0",
"154","2010","268076.41215445",
"155","2001","18489182.04222",
"156","2021","88561.7141",
"157","2014","61314190.07123",
"158","1997","3",
"159","1995","2.185031",
"160","2006","1778.56998614",
"161","1971","1535.4978138",
"162","1987","23.7",
"163","1981","1753.63113",
"164","1981","2466619.6822",
"165","1975","6.6888183",
"166","1976","5.1",
"167","1981","5",
"168","2015","240055.43",
"169","1985","30061257.3",
"170","1986","1486453.8507592",
"171","2024","34873688.222074",
"172","1981","189341.117699",
"173","2000","562058.932",
"174","1996","0",
"175","2023","134521.6876282",
"176","2008","235084.7972",
"177","2006","40922.7305856",
"178","1972","19.222255",
"179","2023","8483.398114",
"180","2016","342.8312",
"181","2000","4308.97",
"182","1978","17.70394619",
"183","1986","28883",
"184","1978","214486481.47373",
"185","1996","45329205.977113",
"186","2020","0",
"187","1986","633805.709",
"188","1991","329.46937255",
"189","1977","1",
"190","2017","2506274.55",
"191","1978","21135.06668",
"192","1973","220780548.89245",
"193","1976","0",
"194","1990","2542.32",
"195","1985","700398.61",
"196","1992","314492996.6248",
"197","2022","120003.9390665",
"198","1992","22795.493555",
"199","2003","0",
"200","2000","3557.8115",
"201","2025","2.716753",
"202","2013","5589475.8334217",
"203","1990","579",
"204","1983","2887583.30066",
"205","2012","11856.6053",
"206","2015","0",
"207","2021","0",
"208","2015","0",
"209","2023","528.749862302",
"210","2018","38",
"211","1973","7231875.45",
"212","2018","28334.126632",
"213","1981","26015.704662",
"214","1988","0.044901",
"215","1988","0.289997831",
"216","1980","4768.3332261",
"217","1990","15389.829136",
"218","2013","55.193",
"219","1993","389293.9",
"220","2016","273.2480273",
"221","2011","57339363.706051",
"222","1996","4.32571",
"223","2001","5973.85763469",
"224","2007","666",
"225","2002","0",
"226","1998","5021695.66",
"227","2000","0",
"228","2022","222555",
"229","2013","7166.6292",
"230","1979","190468738.95116",
"231","2011","6537031.6067037",
"232","1985","115.3",
"233","2025","50795.47705",
"234","1979","41585099.526251",
"235","1989","445.43238",
"236","1987","0",
"237","1990","21.069",
"238","1990","5415361",
"239","1996","222.734239477",
"240","1984","360100702.03882",
"241","1989","14.6927",
"242","1972","2460938",
"243","1978","20296335.1",
"244","1979","11178313",
"245","1979","0",
"246","2023","221089.41669301",
"247","1977","50475107.811",
"248","2006","114720.239785",
"249","1977","663035.62",
"250","1978","4850841.4",
"251","1970","23.617638663",
"252","1999","26229518",
"253","2013","819.61206395",
"254","2013","3411.2318",
"255","1986","168030388",
"256","2007","251194.627",
"257","2005","37352.6",
"258","2010","849.119489",
"259","1975","615014.65447215",
"260","2003","868055.3869448",
"261","1977","342233.1",
"262","2015","22146.889",
"263","1999","81829842.94159",
"264","2014","1019.247",
"265","1979","4.57",
"266","1992","102428402.20207",
"267","1995","605.36419732",
"268","2010","0",
"269","2006","68980073",
"270","2004","40944280",
"271","2005","299.808",
"272","1996","35992182.887444",
"273","1998","49739941.4",
"274","1992","11584404.5246",
"275","1991","0.044686",
"276","2017","33.74",
"277","2025","7.75324",
"278","1995","247.164081",
"279","1976","0",
"280","1982","67.6105388",
"281","2019","645754563.325",
"282","2022","0.9577",
"283","2016","55325716.582547",
"284","1994","2404919.2041944",
"285","1978","361810747.3",
"286","1991","72073.041498425",
"287","1970","0",
"288","2014","3.375",
"289","2007","291189.8535785",
"290","1979","2634.1",
"291","2002","3001.69327",
"292","2019","307.7508",
"293","2005","3923640.1565085",
"294","2007","1728278.36416",
"295","1978","11859.462393",
"296","1996","1550038.34572",
"297","1981","0",
"298","1985","300122.31",
"299","2003","24912.7",
"300","2003","4.00241",
"301","2008","0",
"302","1985","3953.472",
"303","1999","0",
"304","1979","72.4749897",
"305","1973","12.029",
"306","2017","185234.1599",
"307","2022","3148586.2",
"308","1987","1.5917213",
"309","1985","6148767.399314",
"310","2017","0",
"311","2003","4.9937",
"312","1981","1686.40057",
"313","2006","27.41127",
"314","1975","20.58349418",
"315","1986","248.63846",
"316","2012","5.43603",
"317","2007","0",
"318","1979","4490.32494429",
"319","1983","48668",
"320","2013","3.11833206",
"321","1984","19343.277059",
"322","2015","1",
"323","2006","402.1341149",
"324","1974","2789998.4469895",
"325","1970","0",
