query_id,total_elapsed_ms,count,avg_elapsed_ms
ins_actual_order,1277,10,128
ins_actual_order_product_from_regular,1285,10,128
ins_address,1136,10,114
ins_customer,2229,10,223
ins_customer_address,1134,10,113
ins_order_delivery,1364,10,136
ins_regular_order,1724,10,172
ins_regular_order_product,12291,10,1229
query1,1,4,0
query10,6705,3,2235
query11,7223,3,2408
query12,713,3,238
query13,1445,3,482
query14,5771,3,1924
query15,2,3,1
query16,14347,3,4782
query2,1892,4,473
query3,114,3,38
query4,664,3,221
query5,5846,3,1949
query6,1101,3,367
query7,3959,3,1320
query8,547,3,182
query9,3342,3,1114
upd_address_city_zip,1,10,0
upd_customer_contact,79,10,8
upd_customer_payment_method,1636,10,164
upd_delivery_complete,6717,10,672
upd_delivery_status,8826,10,883
upd_order_status,1297,10,130
upd_product_price_promo,11069,10,1107
