query_id,total_elapsed_ms,count,avg_elapsed_ms
ins_actual_order,362,3,121
ins_actual_order_product_from_regular,336,3,112
ins_address,319,3,106
ins_customer,467,3,156
ins_customer_address,310,3,103
ins_order_delivery,511,3,170
ins_regular_order,394,3,131
ins_regular_order_product,3986,3,1329
query1,3,10,0
query10,19711,10,1971
query11,22541,10,2254
query12,1665,9,185
query13,3378,9,375
query14,17129,9,1903
query15,2,9,0
query16,41446,9,4605
query2,4254,10,425
query3,375,10,38
query4,1735,10,174
query5,20601,10,2060
query6,4050,10,405
query7,13517,10,1352
query8,1813,10,181
query9,9998,10,1000
upd_address_city_zip,1,3,0
upd_customer_contact,144,3,48
upd_customer_payment_method,381,3,127
upd_delivery_complete,1964,3,655
upd_delivery_status,3248,3,1083
upd_order_status,340,3,113
upd_product_price_promo,2845,3,948
