query_id,total_elapsed_ms,count,avg_elapsed_ms
ins_actual_order_product_from_regular,134,3,45
ins_customer,892,3,297
ins_customer_address,12050,3,4017
ins_regular_order,1070,3,357
query1,3959,10,396
query10,10891,10,1089
query11,23072,10,2307
query12,1648,9,183
query13,3369,9,374
query14,16490,9,1832
query15,2,9,0
query16,35665,9,3963
query2,4115,10,412
query3,345,10,34
query4,1728,10,173
query5,19453,10,1945
query6,2711,10,271
query7,8964,10,896
query8,1816,10,182
query9,5643,10,564
upd_address_city_zip,2942,3,981
upd_customer_contact,503,3,168
upd_customer_payment_method,1359,3,453
upd_delivery_complete,1650,3,550
upd_delivery_status,1906,3,635
upd_order_status,3543,3,1181
