query_id,total_elapsed_ms,count,avg_elapsed_ms
ins_actual_order,1218,6,203
ins_actual_order_product_from_regular,880,6,147
ins_address,985,6,164
ins_customer,795,6,132
ins_customer_address,689,6,115
ins_order_delivery,597,6,100
ins_regular_order,996,6,166
ins_regular_order_product,6136,6,1023
query1,1,7,0
query10,14997,7,2142
query11,16444,7,2349
query12,1341,7,192
query13,2650,7,379
query14,13450,7,1921
query15,1,6,0
query16,27994,6,4666
query2,3049,7,436
query3,267,7,38
query4,1213,7,173
query5,14331,7,2047
query6,2891,7,413
query7,9451,7,1350
query8,1280,7,183
query9,6964,7,995
upd_address_city_zip,1,6,0
upd_customer_contact,147,6,24
upd_customer_payment_method,751,6,125
upd_delivery_complete,4163,6,694
upd_delivery_status,5913,6,986
upd_order_status,896,6,149
upd_product_price_promo,7309,6,1218
