query_id,error
query13,1146 (42S02): Table 'csu_1.csu_fees' doesn't exist
query14,1146 (42S02): Table 'csu_1.csu_fees' doesn't exist
query15,1146 (42S02): Table 'csu_1.csu_fees' doesn't exist
query16,1146 (42S02): Table 'csu_1.csu_fees' doesn't exist
query23,1054 (42S22): Unknown column 'YEAR' in 'field list'
query24,1054 (42S22): Unknown column 'YEAR' in 'field list'
query27,1146 (42S02): Table 'csu_1.faculty' doesn't exist
query28,1146 (42S02): Table 'csu_1.faculty' doesn't exist
query29,1054 (42S22): Unknown column 'YEAR' in 'where clause'
query30,1054 (42S22): Unknown column 'YEAR' in 'where clause'
query31,1054 (42S22): Unknown column 'YEAR' in 'where clause'
query32,1054 (42S22): Unknown column 'YEAR' in 'where clause'
query33,1146 (42S02): Table 'csu_1.degrees' doesn't exist
query34,1146 (42S02): Table 'csu_1.degrees' doesn't exist
query35,1146 (42S02): Table 'csu_1.degrees' doesn't exist
query36,1146 (42S02): Table 'csu_1.degrees' doesn't exist
query37,1146 (42S02): Table 'csu_1.faculty' doesn't exist
query38,1146 (42S02): Table 'csu_1.faculty' doesn't exist
query39,1054 (42S22): Unknown column 'T1.campus' in 'field list'
query40,1054 (42S22): Unknown column 'T1.campus' in 'field list'
query45,1146 (42S02): Table 'csu_1.degrees' doesn't exist
query46,1146 (42S02): Table 'csu_1.degrees' doesn't exist
query47,1146 (42S02): Table 'csu_1.degrees' doesn't exist
query48,1146 (42S02): Table 'csu_1.degrees' doesn't exist
query49,1054 (42S22): Unknown column 'YEAR' in 'where clause'
query50,1054 (42S22): Unknown column 'YEAR' in 'where clause'
query51,1054 (42S22): Unknown column 'T1.year' in 'where clause'
query52,1054 (42S22): Unknown column 'T1.year' in 'where clause'
query53,1054 (42S22): Unknown column 'T1.year' in 'where clause'
query54,1054 (42S22): Unknown column 'T1.year' in 'where clause'
query55,1146 (42S02): Table 'csu_1.faculty' doesn't exist
query56,1146 (42S02): Table 'csu_1.faculty' doesn't exist
query57,1146 (42S02): Table 'csu_1.faculty' doesn't exist
query58,1146 (42S02): Table 'csu_1.faculty' doesn't exist
query59,1146 (42S02): Table 'csu_1.faculty' doesn't exist
query60,1146 (42S02): Table 'csu_1.faculty' doesn't exist
query65,1054 (42S22): Unknown column 't1.year' in 'where clause'
query66,1054 (42S22): Unknown column 't1.year' in 'where clause'
query67,1054 (42S22): Unknown column 't1.year' in 'where clause'
query68,1054 (42S22): Unknown column 't1.year' in 'where clause'
