query_id,elapsed_ms
query1,542
query2,59238
query3,102
query4,224
query5,5979
query6,371
query7,1038
query8,181
query9,520
query10,23795
query11,2426
query12,236
query13,476
query14,9662
query15,203
query16,4179
ins_actual_order_product_from_regular,1
ins_customer,372
ins_customer_address,3077
ins_regular_order,616
upd_address_city_zip,1370
upd_customer_contact,544
upd_customer_payment_method,362
upd_delivery_complete,31929
upd_delivery_status,682
upd_order_status,1226
upd_product_price_promo,3119
