filename,count
query1.sql,3.2
query2.sql,3.2
query3.sql,3.2
query4.sql,3.2
query5.sql,3.2
query6.sql,3.2
query7.sql,3.2
query8.sql,3.2
query9.sql,3.2
query10.sql,3.2
query11.sql,3.2
query12.sql,3.2
query13.sql,3.2
query14.sql,3.2
query15.sql,3.2
query16.sql,3.2
ins_customer.sql,3.2
ins_address.sql,3.2
ins_customer_address.sql,3.2
upd_customer_contact.sql,3.2
upd_customer_payment_method.sql,3.2
ins_regular_order.sql,3.2
ins_regular_order_product.sql,3.2
ins_actual_order.sql,3.2
ins_actual_order_product_from_regular.sql,3.2
upd_order_status.sql,3.2
ins_order_delivery.sql,3.2
upd_delivery_status.sql,3.2
upd_delivery_complete.sql,3.2
upd_product_price_promo.sql,3.2
upd_address_city_zip.sql,3.2
