filename,count
query1.sql,2.41
query2.sql,2.41
query3.sql,2.41
query4.sql,2.41
query5.sql,2.41
query6.sql,2.41
query7.sql,2.41
query8.sql,2.41
query9.sql,2.41
query10.sql,2.41
query11.sql,2.41
query12.sql,2.41
query13.sql,2.41
query14.sql,2.41
query15.sql,2.41
query16.sql,2.41
ins_customer.sql,0.8
ins_address.sql,0.8
ins_customer_address.sql,0.8
upd_customer_contact.sql,0.8
upd_customer_payment_method.sql,0.8
ins_regular_order.sql,0.8
ins_regular_order_product.sql,0.8
ins_actual_order.sql,0.8
ins_actual_order_product_from_regular.sql,0.8
upd_order_status.sql,0.8
ins_order_delivery.sql,0.8
upd_delivery_status.sql,0.8
upd_delivery_complete.sql,0.8
upd_product_price_promo.sql,0.8
upd_address_city_zip.sql,0.8
